artist_name,date,popularity_score,followers,monthly_listeners,youtube_subscribers,youtube_total_views,youtube_video_count
Mango Blade,2025-08-30,1,134,119,0,0,0,621,9
ZACKO,2025-08-30,0,7,0,0,0,0,505,21
ARANDA,2025-08-30,0,104,6,0,0,0,1161,33
Casa 24Beats,2025-08-30,0,0,N/A,11,1428,70,0,0
Casa 24,2025-08-30,0,0,N/A,0,0,0,0,0
Chef Lino,2025-08-30,0,0,N/A,0,0,0,0,0
PYRO,2025-08-30,0,0,N/A,0,0,0,0,0
bo.wlie,2025-08-30,0,0,N/A,0,0,0,0,0
Mango Blade,2025-08-30,0,0,N/A,0,0,0,0,0
ZACKO,2025-08-30,0,0,N/A,0,0,0,0,0
ARANDA,2025-08-30,0,0,N/A,0,0,0,0,0
Casa 24Beats,2025-08-30,0,0,N/A,0,0,0,0,0
Casa 24,2025-08-30,0,0,N/A,0,0,0,0,0
Chef Lino,2025-08-30,0,0,N/A,0,0,0,0,0
PYRO,2025-08-30,0,0,N/A,0,0,0,0,0
bo.wlie,2025-08-30,0,0,N/A,0,0,0,0,0
Mango Blade,2025-08-30,0,0,N/A,0,0,0,0,0
ZACKO,2025-08-30,0,0,N/A,0,0,0,0,0
ARANDA,2025-08-30,0,0,N/A,0,0,0,0,0
Casa 24Beats,2025-08-30,0,0,N/A,0,0,0,0,0
Casa 24,2025-08-30,5,462,556,623,29117,94,1689,577
Chef Lino,2025-08-30,4,260,326,15,232,5,1351,12
PYRO,2025-08-30,1,206,106,0,0,0,0,0
bo.wlie,2025-08-30,0,89,16,94,13782,71,594,69
Mango Blade,2025-08-30,1,134,119,0,0,0,621,9
ZACKO,2025-08-30,0,7,0,0,0,0,505,21
ARANDA,2025-08-30,0,104,6,0,0,0,1161,33
Casa 24Beats,2025-08-30,0,0,N/A,11,1428,70,0,0
Discord Server,2025-08-30,0,58,12,0,0,0,0,0
Casa 24,2025-08-31,5,462,556,623,29117,94,1689,577
Chef Lino,2025-08-31,4,260,326,15,232,5,1351,5
PYRO,2025-08-31,1,206,106,0,0,0,0,0
bo.wlie,2025-08-31,0,89,16,94,13782,71,594,69
Mango Blade,2025-08-31,1,134,119,0,0,0,621,9
ZACKO,2025-08-31,0,7,0,0,0,0,504,21
ARANDA,2025-08-31,0,104,6,0,0,0,1161,33
Casa 24Beats,2025-08-31,0,0,N/A,11,1438,70,0,0
Discord Server,2025-08-31,0,58,14,0,0,0,0,0
Casa 24,2025-08-31,4,516,556,623,29122,94,1689,577
Chef Lino,2025-08-31,4,260,326,15,233,5,1352,5
PYRO,2025-08-31,1,257,106,0,0,0,0,0
bo.wlie,2025-08-31,0,89,16,94,13782,71,595,69
Mango Blade,2025-08-31,1,180,119,0,0,0,621,9
ZACKO,2025-08-31,0,7,0,0,0,0,503,21
ARANDA,2025-08-31,0,104,6,0,0,0,1162,33
Casa 24Beats,2025-08-31,0,0,N/A,11,1448,70,0,0
Discord Server,2025-08-31,0,58,11,0,0,0,0,0
Casa 24,2025-08-31,4,516,556,623,29122,94,1689,577
Chef Lino,2025-08-31,4,260,326,15,233,5,1352,5
PYRO,2025-08-31,1,257,106,0,0,0,0,0
bo.wlie,2025-08-31,0,89,16,94,13782,71,595,69
Mango Blade,2025-08-31,1,180,119,0,0,0,621,9
ZACKO,2025-08-31,0,7,0,0,0,0,503,21
ARANDA,2025-08-31,0,104,6,0,0,0,1162,33
Casa 24Beats,2025-08-31,0,0,N/A,11,1448,70,0,0
Discord Server,2025-08-31,0,58,12,0,0,0,0,0
Casa 24,2025-09-01,4,516,1200,623,29122,94,1689,577
